股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
600358,国旅联合,沪a,2022-08-19,5.87,0.0,0.0,44847,26519032.0,2.56,6.0,5.85,5.87,0.89,文化传媒,江苏板块,88.94,15.5
600359,新农开发,沪a,2022-08-19,8.39,-0.47,-0.04,98655,83346213.0,1.66,8.52,8.38,8.4,2.59,农牧饲渔,新疆板块,17.09,5.69
600360,华微电子,沪a,2022-08-19,8.52,-4.48,-0.4,637631,559271172.0,6.61,9.11,8.52,8.98,6.64,半导体,吉林板块,79.64,2.55
600361,华联综超,沪a,2022-08-19,7.47,6.41,0.45,141521,104818717.0,8.83,7.58,6.96,7.03,2.13,商业百货,北京板块,59.82,2.49
600362,江西铜业,沪a,2022-08-19,16.85,-0.65,-0.11,83405,141432309.0,1.36,17.08,16.85,17.0,0.4,有色金属,江西板块,9.9,0.75
600363,联创光电,沪a,2022-08-19,34.28,0.82,0.28,237515,821491059.0,5.44,35.56,33.71,34.2,5.31,光学光电子,江西板块,43.6,4.43
600365,ST通葡,沪a,2022-08-19,4.03,0.5,0.02,26897,10791400.0,1.5,4.04,3.98,4.0,0.67,酿酒行业,吉林板块,-84.44,4.15
600366,宁波韵升,沪a,2022-08-19,13.02,-5.99,-0.83,547030,725835706.0,6.5,13.9,13.0,13.8,5.53,小金属,浙江板块,26.81,2.57
600367,红星发展,沪a,2022-08-19,24.5,-5.04,-1.3,215548,540202091.0,6.32,25.98,24.35,25.87,7.35,化学原料,贵州板块,18.52,3.98
600368,五洲交通,沪a,2022-08-19,3.8,-0.26,-0.01,72610,27665613.0,1.05,3.83,3.79,3.82,0.65,铁路公路,广西板块,6.63,0.79
600369,西南证券,沪a,2022-08-19,3.89,-0.51,-0.02,165035,64594083.0,1.28,3.94,3.89,3.91,0.29,证券,重庆板块,-50.33,1.05
600370,三房巷,沪a,2022-08-19,3.18,-1.24,-0.04,142583,45552560.0,2.8,3.25,3.16,3.23,1.22,化学制品,江苏板块,8.02,1.96
600371,万向德农,沪a,2022-08-19,14.13,0.78,0.11,214335,306164880.0,4.35,14.52,13.91,14.01,7.33,农牧饲渔,黑龙江,24.7,7.61
600372,中航电子,沪a,2022-08-19,18.72,-1.06,-0.2,127787,240163880.0,1.59,18.99,18.69,18.89,0.66,航天航空,北京板块,44.83,3.21
600373,中文传媒,沪a,2022-08-19,9.1,0.44,0.04,83575,76691588.0,2.32,9.26,9.05,9.08,0.62,文化传媒,江西板块,7.97,0.77
600375,汉马科技,沪a,2022-08-19,8.84,-1.45,-0.13,97225,86229186.0,3.01,9.03,8.76,8.95,1.75,工程机械,安徽板块,-8.9,3.9
600376,首开股份,沪a,2022-08-19,4.47,1.36,0.06,88465,39447764.0,2.49,4.5,4.39,4.4,0.34,房地产开发,北京板块,-7.51,0.46
600377,宁沪高速,沪a,2022-08-19,7.54,0.13,0.01,29254,22124592.0,0.93,7.59,7.52,7.56,0.08,铁路公路,江苏板块,11.94,1.29
600378,昊华科技,沪a,2022-08-19,40.79,-2.06,-0.86,11244,46303608.0,2.47,41.69,40.66,41.65,0.12,化学制品,四川板块,42.11,5.22
600379,宝光股份,沪a,2022-08-19,12.46,-3.63,-0.47,140073,177639692.0,5.49,13.16,12.45,12.9,4.24,电网设备,陕西板块,87.12,6.68
600380,健康元,沪a,2022-08-19,11.0,-0.72,-0.08,108499,119546819.0,0.9,11.08,10.98,11.08,0.58,化学制药,广东板块,12.78,1.72
600381,青海春天,沪a,2022-08-19,11.73,-1.68,-0.2,70698,83706638.0,3.1,12.03,11.66,11.95,1.2,食品饮料,青海板块,-73.04,3.83
